Energy,Total Scattered Spectrum
5.52,2141.711142796646
5.529999999999999,2138.602788091221
5.539999999999999,2135.494433385796
5.55,2192.146206228325
5.56,2188.9507398710666
5.569999999999999,2185.755273513809
5.58,2145.8505530072125
5.59,2142.70883234171
5.6,2139.567111676208
5.61,2109.224003042374
5.62,2106.1222833818547
5.63,2103.020563721335
5.65,1996.3472202274427
5.66,1993.394120813027
5.67,
5.68,
5.6899999999999995,
5.699999999999999,
5.71,
5.72,
5.7299999999999995,
5.75,
5.76,
5.77,
5.78,
5.79,
5.8,
5.81,
5.819999999999999,
5.829999999999999,
5.85,
5.859999999999999,
5.869999999999999,
5.88,
5.89,
5.8999999999999995,
5.91,
5.92,
5.93,
5.95,
5.96,
5.97,
5.98,
5.99,
6.0,
6.01,
6.02,
6.029999999999999,
6.04,
6.05,
6.06,1129.8907619239505
6.08,1120.033764128601
6.09,1118.5661216603216
6.1,1117.0984791920425
6.11,1110.6767945069055
6.12,1109.2156692148355
6.13,1107.7545439227652
6.14,1131.778662986713
6.1499999999999995,1130.2838783286227
6.159999999999999,1128.7890936705326
6.18,948.4675802443331
6.1899999999999995,947.2082487585981
6.199999999999999,945.948917272863
6.21,900.2225078045407
6.22,899.0224537705998
6.2299999999999995,897.8223997366591
6.24,1041.7354144256367
6.25,1040.341138683601
6.26,1038.946862941565
6.28,923.1222089172346
6.29,921.8800368585872
6.3,920.6378647999398
6.31,1093.7390638136626
6.319999999999999,1092.2613408753816
6.329999999999999,1090.783617937101
6.34,1215.71823928802
6.35,1214.069028779814
6.359999999999999,1212.4198182716082
6.37,1398.4578602971842
6.38,1396.5529979031878
6.39,1394.6481355091914
6.41,1826.4915852046506
6.42,1823.990061586387
6.43,1821.4885379681227
6.44,2138.7490918475173
6.45,2135.8078221602736
6.46,2132.86655247303
6.47,2771.0105286999697
6.4799999999999995,2767.5409814163177
6.489999999999999,2764.0714341326657
6.51,3545.3706404053173
6.52,3540.9091820638228
6.529999999999999,3536.4477237223286
6.54,4402.238983192528
6.55,4396.678257765783
6.56,4391.117532339038
6.57,4796.947823042252
6.58,4790.865468872694
6.59,4784.783114703134
6.61,4963.990278589835
6.62,4957.664034922759
6.63,4951.3377912556825
6.64,4509.709727030448
6.6499999999999995,4503.940372939682
6.659999999999999,4498.171018848914
6.67,3682.907573763369
6.68,3678.1778101620203
6.6899999999999995,3673.4480465606707
6.7,2603.3250593360976
6.71,2599.968815776782
6.72,2596.6125722174656
6.74,1770.2876116288226
6.75,1767.9935013545107
6.76,1765.6993910801991
6.77,1122.6400087043883
6.779999999999999,1121.1795049810778
6.789999999999999,1119.7190012577676
6.8,774.3564632966853
6.81,773.3451135056415
6.819999999999999,772.3337637145978
6.84,520.2464598154584
6.85,519.5634225686571
6.859999999999999,518.8803853218559
6.87,422.92093416540877
6.88,422.36348100290223
6.89,421.80602784039576
6.9,471.4623074801173
6.91,470.8384047060643
6.92,
6.93,
6.9399999999999995,
6.949999999999999,
6.97,
6.9799999999999995,
6.989999999999999,
7.0,
7.01,
7.02,
7.03,
7.04,
7.05,
7.07,
7.08,
7.09,
7.1,
7.109999999999999,
7.119999999999999,
7.13,
7.14,
7.1499999999999995,
7.17,
7.18,
7.1899999999999995,
7.2,
7.21,
7.22,
7.23,
7.24,
7.25,
7.26,
7.27,
7.279999999999999,
7.3,
