Energy,Total Scattered Spectrum
3.74000001,348629.8947016647
3.75,343714.95719207474
3.75999999,338962.85888384463
3.769999981,334382.4095379278
3.779999971,329833.46924061974
3.789999962,358169.82995802216
3.799999952,353188.0274585618
3.809999943,348206.22495910147
3.819999933,343224.42245964106
3.829999924,338242.6199601807
3.839999914,333260.81746072037
3.849999905,328279.01496126
3.859999895,323297.2124617997
3.869999886,318315.4099623393
3.880000114,313333.6074628789
3.890000105,308351.8049634186
3.900000095,303370.0024639582
3.910000086,298388.1999644979
3.920000076,293406.39746503753
3.930000067,288424.5949655771
3.940000057,283442.7924661168
3.950000048,278460.98996665643
3.960000038,273479.1874671961
3.970000029,268497.38496773574
3.980000019,263515.58246827533
3.99000001,258533.77996881498
4.0,253551.97746935464
4.010000229,248570.1749698943
4.019999981,243588.37247043394
4.03000021,238606.56997097356
4.039999962,233624.7674715132
4.050000191,228642.96497205284
4.059999943,223661.1624725925
4.070000172,224426.1159538368
4.079999924,218843.654660602
4.090000153,214057.32553005492
4.099999905,215334.71079782845
4.110000134,216129.0922056609
4.119999886,214798.7439538395
4.130000114,202839.2801869162
4.139999866,200069.96375990336
4.150000095,198956.2552387377
4.159999847,194673.3690310177
4.170000076,191979.1334214616
4.179999828,189372.05401316148
4.190000057,186782.55522556015
4.199999809,184255.8120596848
4.210000038,181727.62736091844
4.21999979,179245.6899558611
4.230000019,176809.36370746887
4.239999771,174381.36187929192
4.25,172670.73476100233
4.260000229,169854.15835653548
4.269999981,167345.79489148114
4.28000021,165114.4367255291
4.289999962,162822.48820947125
4.300000191,160678.5297930377
4.309999943,158416.41979037746
4.320000172,156257.59781753024
4.329999924,154279.17538288984
4.340000153,154447.77693562506
4.349999905,150013.8388733157
4.360000134,147963.98638160693
4.369999886,145967.60030507145
4.380000114,144024.39427562905
4.389999866,142240.84655736494
4.400000095,140235.7014544816
4.409999847,139219.82256940694
4.420000076,136388.78973609654
4.429999828,135611.81349982336
4.440000057,132764.59408829996
4.449999809,130976.35542069848
4.460000038,129213.796737246
4.46999979,129388.67042411013
4.480000019,128043.4228090578
4.489999771,125967.13659384468
4.5,127471.94335529796
4.510000229,176286.6671483507
4.519999981,126300.65945084272
4.53000021,124263.85941483086
4.539999962,116043.01187443944
4.550000191,114398.3325085194
4.559999943,112856.01549854044
4.570000172,111329.9222273294
4.579999924,206303.8594875796
4.590000153,108358.12679140024
4.599999905,106902.68131299228
4.610000134,105467.16733074104
4.619999886,105296.671227499
4.630000114,102703.34617815042
4.639999866,101283.52894667097
4.650000095,99935.86482868632
4.659999847,98606.32408469533
4.670000076,97295.23906239372
4.679999828,96006.67136151536
4.690000057,94829.03763552645
4.699999809,97739.8530448689
4.710000038,92303.1292912399
4.71999979,92935.79848225878
4.730000019,116215.12118452931
4.739999771,95288.13611444412
4.75,96905.6549237022
4.760000229,89576.1778005717
4.769999981,85130.88042857496
4.78000021,84025.58937747499
4.789999962,83003.91576323284
4.800000191,81873.73757896427
4.809999943,80749.97561466428
4.820000172,105521.98261128974
4.829999924,89014.34386246644
4.840000153,79736.81813781876
4.849999905,76502.0598062479
4.860000134,78077.32044481329
4.869999886,74483.5884963676
4.880000114,78939.20243558427
4.889999866,73802.66203419631
4.900000095,71684.0357424902
4.909999847,73481.45263430939
4.920000076,70589.92937136925
4.929999828,79828.64723503766
4.940000057,68168.02782242275
4.949999809,67631.96457777743
4.960000038,66912.16767384425
4.96999979,66192.37076991105
4.980000019,65472.57386597787
4.989999771,64752.77696204469
5.0,64032.980058111505
5.010000229,63313.18315417832
5.019999981,62593.38625024514
5.03000021,61873.58934631195
5.039999962,61153.79244237876
5.050000191,60433.99553844558
5.059999943,59714.198634512395
5.070000172,58994.40173057921
5.079999924,58274.60482664603
5.090000153,57554.80792271284
5.099999905,56835.01101877965
5.110000134,56115.21411484647
5.119999886,55395.41721091329
5.130000114,54675.620306980105
5.139999866,53955.82340304692
5.150000095,53236.02649911374
5.159999847,52516.22959518055
5.170000076,51796.43269124736
5.179999828,51076.63578731418
5.190000057,50356.838883380995
5.199999809,49637.04197944781
5.210000038,48917.24507551463
5.21999979,48197.44817158144
5.230000019,47477.65126764825
5.239999771,46757.85436371507
5.25,46038.057459781885
5.260000229,45318.2605558487
5.269999981,44598.46365191552
5.28000021,43878.66674798234
5.289999962,43158.86984404915
5.300000191,42439.07294011596
5.309999943,41890.20656165241
