 V0_LATITUDE,V0_LONGITUDE, V1_LATITUDE,V1_LONGITUDE, V2_LATITUDE,V2_LONGITUDE, V3_LATITUDE,V3_LONGITUDE,       MG_WT,  MG_FIT_UNC,  MG_SYS_UNC,  MG_TOT_UNC,       AL_WT,  AL_FIT_UNC,  AL_SYS_UNC,  AL_TOT_UNC,       SI_WT,  SI_FIT_UNC,  SI_SYS_UNC,  SI_TOT_UNC,       FE_WT,  FE_FIT_UNC,  FE_SYS_UNC,  FE_TOT_UNC
      -65.64,     -159.12,      -71.38,     -159.45,      -71.38,     -156.68,      -65.65,     -156.95,        3.67,        0.42,        1.32,        1.39,       10.31,        0.74,        3.63,        3.71,       21.82,        1.53,        4.38,        4.63,        9.82,        1.27,        4.10,        4.30
       66.42,      -80.57,       60.64,      -79.88,       60.67,      -77.89,       66.46,      -78.14,        4.23,        0.33,        1.32,        1.36,       15.49,        0.70,        3.63,        3.70,       20.80,        1.21,        4.38,        4.54,        4.95,        0.93,        4.10,        4.21
       42.44,      -78.80,       36.65,      -78.60,       36.67,      -77.35,       42.46,      -77.45,        5.53,        0.47,        1.32,        1.40,       11.44,        0.77,        3.63,        3.71,       15.09,        1.57,        4.38,        4.65,       15.77,        1.29,        4.10,        4.30
       32.86,      -78.50,       27.06,      -78.35,       27.08,      -77.22,       32.88,      -77.30,        6.39,        0.43,        1.32,        1.39,        8.97,        0.60,        3.63,        3.68,       12.80,        2.19,        4.38,        4.90,       20.00,        2.06,        4.10,        4.59
       28.07,      -78.38,       22.28,      -78.25,       22.30,      -77.16,       28.09,      -77.24,        6.17,        0.43,        1.32,        1.39,       11.47,        0.67,        3.63,        3.70,       14.53,        1.33,        4.38,        4.57,       14.54,        1.06,        4.10,        4.24
       18.50,      -78.18,       12.71,      -78.08,       12.72,      -77.04,       18.52,      -77.11,        6.66,        0.39,        1.32,        1.38,       12.97,        0.63,        3.63,        3.69,       12.26,        1.18,        4.38,        4.53,       13.48,        0.92,        4.10,        4.21
        8.94,      -78.02,        3.14,      -77.93,        3.16,      -76.92,        8.96,      -77.00,        4.31,        0.29,        1.32,        1.35,       12.87,        0.57,        3.63,        3.68,       12.37,        1.07,        4.38,        4.50,       14.53,        0.85,        4.10,        4.19
      -38.95,      -77.38,      -44.74,      -77.28,      -44.72,      -75.89,      -38.93,      -76.10,        4.06,        0.45,        1.32,        1.40,       13.94,        0.92,        3.63,        3.75,       11.41,        1.69,        4.38,        4.69,       16.23,        1.35,        4.10,        4.32
      -63.01,      -76.78,      -68.78,      -76.47,      -68.74,      -73.85,      -62.97,      -74.67,        4.03,        0.93,        1.32,        1.62,       15.22,        2.15,        3.63,        4.22,        9.69,        4.58,        4.38,        6.33,       16.61,        3.93,        4.10,        5.68
       34.66,     -109.83,       28.92,     -109.68,       28.94,     -108.66,       34.67,     -108.74,        3.14,        0.24,        1.32,        1.34,       13.67,        1.24,        3.63,        3.84,       18.16,        1.66,        4.38,        4.68,        1.00,        1.08,        4.10,        4.24
       24.97,     -109.60,       19.23,     -109.49,       19.24,     -108.54,       24.98,     -108.61,        3.72,        0.19,        1.32,        1.33,       19.21,        0.51,        3.63,        3.67,       22.05,        1.41,        4.38,        4.60,        1.00,        1.30,        4.10,        4.31
       20.13,     -109.50,       14.39,     -109.40,       14.40,     -108.48,       20.14,     -108.55,        4.33,        0.22,        1.32,        1.34,       18.23,        0.53,        3.63,        3.67,       21.47,        1.57,        4.38,        4.65,        1.00,        1.46,        4.10,        4.36
       10.44,     -109.35,        4.70,     -109.26,        4.72,     -108.36,       10.46,     -108.43,        3.98,        0.23,        1.32,        1.34,       17.77,        0.56,        3.63,        3.68,       22.66,        1.58,        4.38,        4.65,        1.00,        1.45,        4.10,        4.35
       65.98,     -118.02,       60.25,     -117.43,       60.27,     -115.61,       66.01,     -115.81,        4.56,        0.54,        1.32,        1.43,       18.31,        1.23,        3.63,        3.83,       15.39,        2.10,        4.38,        4.86,        7.22,        1.62,        4.10,        4.41
       56.32,     -117.15,       50.58,     -116.83,       50.60,     -115.39,       56.34,     -115.51,        4.73,        0.39,        1.32,        1.38,       16.41,        0.83,        3.63,        3.73,       15.70,        1.43,        4.38,        4.61,        5.60,        1.10,        4.10,        4.25
      -64.66,     -114.73,      -70.37,     -114.43,      -70.34,     -111.95,      -64.63,     -112.76,        3.77,        0.31,        1.32,        1.36,       14.33,        0.62,        3.63,        3.69,       19.47,        1.12,        4.38,        4.52,        8.45,        0.89,        4.10,        4.20
       46.57,     -131.91,       40.80,     -131.72,       40.82,     -130.49,       46.58,     -130.52,        3.69,        0.44,        1.32,        1.39,       12.80,        0.93,        3.63,        3.75,       17.28,        1.74,        4.38,        4.71,       11.74,        1.40,        4.10,        4.34
       41.75,     -131.76,       35.99,     -131.61,       36.00,     -130.46,       41.77,     -130.48,        3.48,        0.28,        1.32,        1.35,       14.24,        0.60,        3.63,        3.68,       17.93,        1.05,        4.38,        4.50,        9.44,        0.82,        4.10,        4.19
       36.94,     -131.65,       31.17,     -131.51,       31.18,     -130.42,       36.95,     -130.45,        2.58,        0.35,        1.32,        1.36,       13.22,        2.11,        3.63,        4.20,       15.03,        2.29,        4.38,        4.94,        5.46,        0.82,        4.10,        4.18
       32.12,     -131.55,       26.35,     -131.43,       26.37,     -130.39,       32.14,     -130.41,        2.62,        0.29,        1.32,        1.35,       12.27,        1.57,        3.63,        3.96,       13.95,        1.73,        4.38,        4.71,        6.02,        0.67,        4.10,        4.16
       27.31,     -131.47,       21.54,     -131.36,       21.55,     -130.35,       27.32,     -130.38,        3.12,        0.16,        1.32,        1.33,       15.72,        0.36,        3.63,        3.65,       20.72,        0.57,        4.38,        4.41,        5.16,        0.41,        4.10,        4.12
       22.50,     -131.40,       16.73,     -131.30,       16.74,     -130.32,       22.51,     -130.35,        2.68,        0.22,        1.32,        1.34,       12.99,        1.21,        3.63,        3.83,       15.04,        1.33,        4.38,        4.57,        5.65,        0.49,        4.10,        4.13
       17.69,     -131.33,       11.91,     -131.25,       11.93,     -130.29,       17.70,     -130.32,        2.53,        0.17,        1.32,        1.33,       13.06,        1.00,        3.63,        3.77,       15.93,        1.10,        4.38,        4.51,        5.98,        0.42,        4.10,        4.13
      -30.55,     -130.93,      -36.31,     -130.87,      -36.29,     -129.75,      -30.53,     -129.85,        3.41,        0.29,        1.32,        1.35,       14.72,        0.65,        3.63,        3.69,       18.53,        1.15,        4.38,        4.52,        9.19,        0.90,        4.10,        4.20
      -35.39,     -130.89,      -41.15,     -130.83,      -41.13,     -129.65,      -35.38,     -129.76,        3.41,        0.32,        1.32,        1.36,       14.72,        0.71,        3.63,        3.70,       20.01,        1.25,        4.38,        4.55,        7.80,        0.98,        4.10,        4.22
       56.09,     -157.48,       50.36,     -157.53,       50.33,     -156.09,       56.10,     -155.84,        7.83,        1.19,        1.32,        1.78,        9.49,        1.87,        3.63,        4.08,       16.10,        3.83,        4.38,        5.82,       11.79,        3.12,        4.10,        5.16
       36.74,     -157.62,       31.00,     -157.65,       30.97,     -156.55,       36.75,     -156.45,        3.25,        1.01,        1.32,        1.66,       11.37,        4.26,        3.63,        5.60,       13.47,        4.96,        4.38,        6.62,        8.70,        2.35,        4.10,        4.73
      -60.00,     -157.89,      -65.72,     -157.87,      -65.72,     -155.71,      -59.96,     -156.10,        6.37,        2.68,        1.32,        2.99,        5.00,        7.10,        3.63,        7.98,       13.48,       21.93,        4.38,       22.36,       20.00,       20.57,        4.10,       20.98
       35.40,     -158.70,       29.66,     -158.73,       29.63,     -157.65,       35.41,     -157.55,        5.14,        0.50,        1.32,        1.41,       14.72,        1.00,        3.63,        3.77,       16.04,        1.82,        4.38,        4.74,        6.30,        1.43,        4.10,        4.35
       25.73,     -158.75,       19.99,     -158.77,       19.96,     -157.77,       25.74,     -157.70,        4.27,        0.49,        1.32,        1.41,       15.17,        1.02,        3.63,        3.77,       15.46,        1.77,        4.38,        4.72,        7.93,        1.36,        4.10,        4.32
       20.90,     -158.77,       15.16,     -158.79,       15.13,     -157.82,       20.91,     -157.76,        4.09,        0.45,        1.32,        1.39,       15.55,        0.94,        3.63,        3.75,       15.14,        1.63,        4.38,        4.67,       10.28,        1.25,        4.10,        4.29
       16.07,     -158.79,       10.33,     -158.82,       10.30,     -157.85,       16.09,     -157.81,        4.47,        0.47,        1.32,        1.40,       13.23,        0.91,        3.63,        3.75,       14.34,        1.66,        4.38,        4.68,       13.19,        1.31,        4.10,        4.31
      -61.35,     -159.00,      -67.08,     -158.98,      -67.08,     -156.69,      -61.32,     -157.12,        4.98,        4.75,        1.32,        4.93,        5.00,       12.80,        3.63,       13.31,       14.09,       41.66,        4.38,       41.89,       20.00,       39.36,        4.10,       39.58
       85.80,      162.43,       80.11,      166.32,       80.12,      170.97,       85.82,      173.27,        2.05,        0.35,        1.32,        1.37,       13.38,        2.94,        3.63,        4.68,       18.55,        3.04,        4.38,        5.33,        2.94,        0.67,        4.10,        4.16
       80.91,      166.06,       75.21,      167.25,       75.21,      170.41,       80.92,      171.12,        2.02,        0.24,        1.32,        1.34,       13.44,        1.99,        3.63,        4.14,       18.50,        2.06,        4.38,        4.84,        3.02,        0.46,        4.10,        4.13
       76.01,      167.14,       70.31,      167.71,       70.31,      170.12,       76.02,      170.47,        2.02,        0.21,        1.32,        1.34,       14.61,        1.82,        3.63,        4.06,       17.29,        1.88,        4.38,        4.76,        2.95,        0.42,        4.10,        4.13
       71.12,      167.65,       65.41,      167.98,       65.41,      169.95,       71.12,      170.16,        2.59,        0.20,        1.32,        1.34,       14.15,        1.35,        3.63,        3.87,       18.04,        1.41,        4.38,        4.60,        2.78,        0.36,        4.10,        4.12
       61.34,      168.12,       55.63,      168.27,       55.63,      169.75,       61.35,      169.85,        2.78,        0.19,        1.32,        1.33,       14.31,        1.15,        3.63,        3.81,       16.98,        1.22,        4.38,        4.54,        3.67,        0.36,        4.10,        4.12
       56.46,      168.25,       50.74,      168.35,       50.75,      169.69,       56.47,      169.76,        2.77,        0.13,        1.32,        1.33,       18.36,        0.33,        3.63,        3.65,       22.59,        0.47,        4.38,        4.40,        2.79,        0.32,        4.10,        4.12
       51.59,      168.34,       45.86,      168.41,       45.87,      169.64,       51.59,      169.70,        2.81,        0.21,        1.32,        1.34,       14.38,        1.22,        3.63,        3.83,       15.69,        1.32,        4.38,        4.57,        4.58,        0.45,        4.10,        4.13
       46.72,      168.40,       40.99,      168.46,       40.99,      169.60,       46.72,      169.64,        3.35,        0.27,        1.32,        1.35,       14.40,        1.37,        3.63,        3.88,       15.88,        1.49,        4.38,        4.62,        5.26,        0.54,        4.10,        4.14
       41.85,      168.45,       36.12,      168.49,       36.12,      169.56,       41.85,      169.60,        3.40,        0.19,        1.32,        1.33,       17.34,        0.43,        3.63,        3.66,       20.53,        0.67,        4.38,        4.43,        3.96,        0.48,        4.10,        4.13
       36.99,      168.48,       31.26,      168.51,       31.26,      169.54,       36.99,      169.57,        3.25,        0.20,        1.32,        1.33,       16.99,        0.45,        3.63,        3.66,       21.45,        0.71,        4.38,        4.43,        3.68,        0.51,        4.10,        4.14
       32.13,      168.51,       26.40,      168.53,       26.40,      169.51,       32.13,      169.54,        3.47,        0.22,        1.32,        1.34,       16.73,        0.50,        3.63,        3.67,       20.21,        0.80,        4.38,        4.45,        3.82,        0.58,        4.10,        4.14
       27.28,      168.53,       21.54,      168.54,       21.54,      169.50,       27.28,      169.52,        2.93,        0.24,        1.32,        1.34,       17.43,        0.55,        3.63,        3.68,       18.24,        0.87,        4.38,        4.46,        4.68,        0.63,        4.10,        4.15
       22.43,      168.54,       16.69,      168.55,       16.69,      169.48,       22.43,      169.50,        3.21,        0.25,        1.32,        1.34,       16.74,        0.57,        3.63,        3.68,       16.21,        0.94,        4.38,        4.48,        5.99,        0.70,        4.10,        4.16
        7.90,      168.54,        2.16,      168.54,        2.16,      169.45,        7.90,      169.46,        3.23,        0.32,        1.32,        1.36,       14.75,        0.69,        3.63,        3.70,       14.86,        1.25,        4.38,        4.55,       10.74,        0.98,        4.10,        4.22
       -1.76,      168.53,       -7.51,      168.52,       -7.51,      169.45,       -1.76,      169.45,        3.39,        0.34,        1.32,        1.36,       12.72,        0.67,        3.63,        3.69,       13.00,        1.23,        4.38,        4.55,       12.11,        0.97,        4.10,        4.22
      -11.42,      168.51,      -17.17,      168.49,      -17.17,      169.46,      -11.42,      169.45,        3.00,        0.42,        1.32,        1.39,       10.96,        0.81,        3.63,        3.72,        8.28,        1.57,        4.38,        4.65,       18.82,        1.28,        4.10,        4.30
      -25.90,      168.45,      -31.65,      168.42,      -31.65,      169.51,      -25.90,      169.48,        4.72,        0.72,        1.32,        1.50,        7.29,        1.01,        3.63,        3.77,       12.60,        4.38,        4.38,        6.19,       20.00,        4.20,        4.10,        5.87
       43.17,       75.50,       37.44,       75.70,       37.46,       76.83,       43.19,       76.72,        6.26,        1.16,        1.32,        1.76,        5.00,        3.20,        3.63,        4.84,       23.35,        4.72,        4.38,        6.44,       10.14,        3.28,        4.10,        5.25
       23.84,       76.05,       18.09,       76.16,       18.11,       77.14,       23.86,       77.06,        3.22,        0.31,        1.32,        1.36,       11.12,        1.34,        3.63,        3.87,       17.46,        1.47,        4.38,        4.62,        3.80,        0.53,        4.10,        4.14
       -9.82,       76.58,      -15.59,       76.66,      -15.57,       77.66,       -9.80,       77.56,        3.75,        0.38,        1.32,        1.37,       10.05,        1.21,        3.63,        3.83,       15.17,        1.45,        4.38,        4.61,        6.23,        0.70,        4.10,        4.16
      -19.42,       76.70,      -25.19,       76.79,      -25.17,       77.86,      -19.40,       77.73,        4.36,        0.30,        1.32,        1.35,       10.21,        0.55,        3.63,        3.67,       20.76,        1.03,        4.38,        4.50,        6.85,        0.82,        4.10,        4.18
      -29.02,       76.84,      -34.78,       76.93,      -34.76,       78.11,      -29.00,       77.95,        4.35,        0.44,        1.32,        1.39,        7.67,        0.80,        3.63,        3.72,       21.52,        1.64,        4.38,        4.67,       12.10,        1.36,        4.10,        4.32
      -38.62,       76.99,      -44.38,       77.10,      -44.36,       78.45,      -38.60,       78.23,        4.31,        0.71,        1.32,        1.50,        5.00,        2.35,        3.63,        4.33,       20.94,        3.31,        4.38,        5.49,       14.58,        2.22,        4.10,        4.66
      -43.42,       77.08,      -49.18,       77.21,      -49.16,       78.67,      -43.40,       78.40,        3.63,        0.79,        1.32,        1.54,        5.00,        2.55,        3.63,        4.44,       17.79,        3.68,        4.38,        5.72,       18.10,        2.53,        4.10,        4.82
      -48.23,       77.18,      -53.99,       77.34,      -53.96,       78.95,      -48.20,       78.62,        6.17,        1.11,        1.32,        1.73,        5.00,        3.30,        3.63,        4.91,       17.59,        4.53,        4.38,        6.30,       16.60,        2.89,        4.10,        5.02
       57.99,       49.57,       52.27,       49.86,       52.29,       51.26,       58.01,       51.17,        5.71,        1.05,        1.32,        1.69,       19.42,        2.50,        3.63,        4.41,       14.42,        5.02,        4.38,        6.66,        6.07,        4.22,        4.10,        5.89
       -9.42,       50.86,      -15.20,       50.90,      -15.18,       51.94,       -9.40,       51.87,        7.88,        0.56,        1.32,        1.43,        9.85,        0.74,        3.63,        3.71,       13.17,        1.55,        4.38,        4.64,       18.01,        1.24,        4.10,        4.29
      -28.52,       50.98,      -34.30,       51.03,      -34.29,       52.24,      -28.51,       52.13,        6.57,        0.60,        1.32,        1.45,       12.42,        0.97,        3.63,        3.76,       10.71,        1.88,        4.38,        4.76,       14.01,        1.49,        4.10,        4.37
      -38.07,       51.05,      -43.85,       51.10,      -43.84,       52.49,      -38.06,       52.33,        5.38,        0.63,        1.32,        1.46,       13.44,        1.14,        3.63,        3.81,       10.75,        2.17,        4.38,        4.89,       15.57,        1.74,        4.10,        4.46
      -66.80,       51.41,      -72.57,       51.60,      -72.53,       54.79,      -66.77,       53.87,        3.61,        0.64,        1.32,        1.47,       14.61,        1.29,        3.63,        3.85,       24.75,        2.48,        4.38,        5.03,        2.05,        2.02,        4.10,        4.58
      -76.42,       51.80,      -82.18,       52.47,      -82.10,       59.30,      -76.37,       55.84,        2.01,        0.76,        1.32,        1.52,       19.37,        1.91,        3.63,        4.10,       23.28,        5.63,        4.38,        7.13,        1.00,        5.25,        4.10,        6.66
       27.76,      -24.89,       22.00,      -24.89,       22.00,      -23.89,       27.75,      -23.83,        5.13,        0.25,        1.32,        1.34,        7.14,        0.42,        3.63,        3.66,       28.54,        0.90,        4.38,        4.47,        8.60,        0.76,        4.10,        4.17
       18.11,      -24.91,       12.36,      -24.92,       12.36,      -23.97,       18.11,      -23.92,        5.89,        0.45,        1.32,        1.39,        7.20,        0.73,        3.63,        3.70,       22.26,        1.05,        4.38,        4.50,        6.39,        0.62,        4.10,        4.15
       -6.04,      -25.00,      -11.78,      -25.03,      -11.79,      -24.11,       -6.04,      -24.09,        4.97,        0.27,        1.32,        1.35,        6.37,        0.43,        3.63,        3.66,       19.92,        0.66,        4.38,        4.43,        7.43,        0.42,        4.10,        4.13
      -64.44,      -25.93,      -70.15,      -26.27,      -70.15,      -23.89,      -64.44,      -24.03,        3.29,        0.20,        1.32,        1.34,       13.46,        0.45,        3.63,        3.66,       25.10,        1.21,        4.38,        4.54,        1.00,        1.10,        4.10,        4.25
        2.28,      -26.04,       -3.47,      -26.06,       -3.47,      -25.15,        2.28,      -25.12,        6.82,        0.25,        1.32,        1.34,        7.51,        0.35,        3.63,        3.65,       24.55,        0.83,        4.38,        4.45,        6.21,        0.70,        4.10,        4.16
       16.50,      -29.16,       10.76,      -29.27,       10.67,      -28.41,       16.37,      -28.27,        9.74,        1.64,        1.32,        2.10,        5.00,        4.16,        3.63,        5.53,       28.45,       13.28,        4.38,       13.99,        1.00,       12.51,        4.10,       13.16
        6.69,      -29.22,        0.95,      -29.24,        0.96,      -28.42,        6.66,      -28.38,        9.62,        1.78,        1.32,        2.22,        5.00,        4.72,        3.63,        5.96,       32.88,       15.42,        4.38,       16.02,        1.00,       14.57,        4.10,       15.13
       -3.15,      -29.29,       -8.88,      -29.22,       -8.78,      -28.42,       -3.09,      -28.48,        7.46,        0.89,        1.32,        1.59,        5.00,        2.42,        3.63,        4.37,       22.20,        3.56,        4.38,        5.64,        8.79,        2.45,        4.10,        4.78
      -17.96,      -29.40,      -23.66,      -29.21,      -23.44,      -28.40,      -17.78,      -28.60,        4.40,        0.58,        1.32,        1.44,        7.70,        1.31,        3.63,        3.86,       19.83,        1.59,        4.38,        4.66,        3.08,        0.69,        4.10,        4.16
      -22.91,      -29.45,      -28.59,      -29.22,      -28.34,      -28.39,      -22.70,      -28.64,        3.68,        0.50,        1.32,        1.41,        8.86,        1.51,        3.63,        3.94,       19.39,        1.79,        4.38,        4.73,        3.28,        0.81,        4.10,        4.18
      -47.70,      -29.76,      -53.31,      -29.29,      -52.95,      -28.22,      -47.36,      -28.78,        4.03,        2.78,        1.32,        3.07,       14.02,       16.06,        3.63,       16.46,       24.25,       16.36,        4.38,       16.94,        1.00,        1.51,        4.10,        4.37
      -52.66,      -29.86,      -58.26,      -29.32,      -57.89,      -28.13,      -52.31,      -28.80,        3.35,        0.66,        1.32,        1.48,       11.31,        2.93,        3.63,        4.67,       19.54,        3.59,        4.38,        5.66,        1.00,        1.96,        4.10,        4.55
       82.40,      -37.48,       77.65,      -32.62,       77.15,      -28.86,       83.08,      -31.88,        4.37,        0.63,        1.32,        1.46,       16.36,        1.36,        3.63,        3.88,       19.96,        2.55,        4.38,        5.06,        5.11,        2.06,        4.10,        4.59
       78.48,      -30.22,       72.85,      -31.81,       72.35,      -29.07,       77.94,      -26.32,        4.86,        0.60,        1.32,        1.45,       15.72,        1.17,        3.63,        3.82,       20.20,        2.10,        4.38,        4.86,        3.78,        1.64,        4.10,        4.42
       73.67,      -30.11,       68.03,      -31.36,       67.55,      -29.20,       73.15,      -27.29,        3.24,        0.50,        1.32,        1.41,       15.72,        1.12,        3.63,        3.80,       19.44,        2.07,        4.38,        4.84,        4.21,        1.67,        4.10,        4.43
       68.85,      -30.06,       63.21,      -31.09,       62.74,      -29.28,       68.35,      -27.84,        4.58,        0.43,        1.32,        1.39,       12.57,        0.79,        3.63,        3.72,       23.48,        1.61,        4.38,        4.66,        3.69,        1.34,        4.10,        4.32
       64.04,      -30.04,       58.38,      -30.90,       57.93,      -29.33,       63.55,      -28.20,        4.25,        0.41,        1.32,        1.38,       11.34,        0.73,        3.63,        3.71,       23.17,        1.51,        4.38,        4.63,        8.16,        1.25,        4.10,        4.29
       59.21,      -30.04,       53.55,      -30.76,       53.12,      -29.37,       58.75,      -28.45,        4.86,        0.40,        1.32,        1.38,       10.99,        0.67,        3.63,        3.69,       25.85,        1.34,        4.38,        4.58,        6.65,        1.09,        4.10,        4.25
       54.38,      -30.05,       48.71,      -30.66,       48.31,      -29.40,       53.95,      -28.64,        5.14,        0.42,        1.32,        1.38,       13.03,        0.74,        3.63,        3.71,       22.33,        1.40,        4.38,        4.59,        5.11,        1.11,        4.10,        4.25
       49.54,      -30.06,       43.86,      -30.59,       43.49,      -29.43,       49.14,      -28.79,        7.39,        0.45,        1.32,        1.40,       10.18,        0.64,        3.63,        3.69,       20.33,        1.38,        4.38,        4.59,       11.39,        1.14,        4.10,        4.26
       34.98,      -30.13,       29.26,      -30.44,       29.01,      -29.47,       34.69,      -29.10,        5.99,        0.41,        1.32,        1.38,        9.01,        0.59,        3.63,        3.68,       23.36,        1.30,        4.38,        4.56,       12.90,        1.08,        4.10,        4.24
       20.35,      -30.21,       14.61,      -30.36,       14.49,      -29.48,       20.19,      -29.30,        7.31,        0.42,        1.32,        1.39,        8.57,        0.55,        3.63,        3.67,       16.15,        1.21,        4.38,        4.54,       14.23,        0.99,        4.10,        4.22
       15.46,      -30.24,        9.71,      -30.34,        9.64,      -29.49,       15.34,      -29.36,        5.76,        0.37,        1.32,        1.37,        8.21,        0.51,        3.63,        3.67,       17.32,        1.17,        4.38,        4.53,       13.31,        0.98,        4.10,        4.22
        0.72,      -30.33,       -5.01,      -30.30,       -4.94,      -29.49,        0.75,      -29.51,        7.41,        0.46,        1.32,        1.40,        7.85,        0.57,        3.63,        3.68,       17.72,        1.31,        4.38,        4.57,       13.68,        1.08,        4.10,        4.24
       -4.20,      -30.37,       -9.93,      -30.29,       -9.82,      -29.48,       -4.14,      -29.55,        5.69,        0.41,        1.32,        1.38,        9.63,        0.61,        3.63,        3.68,       17.37,        1.27,        4.38,        4.56,       13.11,        1.03,        4.10,        4.23
       -9.14,      -30.40,      -14.85,      -30.28,      -14.70,      -29.48,       -9.02,      -29.60,        5.48,        0.40,        1.32,        1.38,        8.56,        0.58,        3.63,        3.68,       16.18,        1.27,        4.38,        4.56,       16.71,        1.05,        4.10,        4.24
      -19.02,      -30.48,      -24.71,      -30.28,      -24.49,      -29.46,      -18.83,      -29.67,        5.07,        0.41,        1.32,        1.38,        9.83,        0.66,        3.63,        3.69,       16.66,        1.40,        4.38,        4.59,       10.33,        1.16,        4.10,        4.27
      -23.97,      -30.52,      -29.64,      -30.28,      -29.39,      -29.45,      -23.75,      -29.71,        4.84,        0.44,        1.32,        1.39,       10.56,        0.76,        3.63,        3.71,       11.60,        1.58,        4.38,        4.65,       15.13,        1.31,        4.10,        4.31
      -43.80,      -30.75,      -49.42,      -30.32,      -49.07,      -29.32,      -43.48,      -29.83,        4.62,        0.67,        1.32,        1.48,       13.67,        1.31,        3.63,        3.86,       14.24,        2.50,        4.38,        5.04,        9.47,        2.03,        4.10,        4.58
      -53.72,      -30.94,      -59.32,      -30.37,      -58.95,      -29.15,      -53.37,      -29.86,        4.20,        0.69,        1.32,        1.49,       11.40,        1.28,        3.63,        3.85,       10.05,        2.53,        4.38,        5.06,       17.67,        2.07,        4.10,        4.60
       -5.18,      -32.51,      -10.91,      -32.42,      -10.79,      -31.62,       -5.10,      -31.70,        6.14,        0.64,        1.32,        1.47,        8.36,        1.00,        3.63,        3.77,       28.65,        2.31,        4.38,        4.95,        3.61,        1.98,        4.10,        4.55
      -10.12,      -32.54,      -15.83,      -32.41,      -15.67,      -31.61,      -10.00,      -31.74,        7.49,        0.70,        1.32,        1.49,        5.72,        0.95,        3.63,        3.76,       30.94,        2.41,        4.38,        5.00,        2.33,        2.10,        4.10,        4.61
       67.62,     -112.18,       61.92,     -112.48,       61.55,     -110.59,       67.23,     -109.88,        4.89,        0.69,        1.32,        1.49,       14.81,        1.43,        3.63,        3.91,       26.87,        4.42,        4.38,        6.22,        1.00,        4.13,        4.10,        5.82
       62.82,     -111.70,       57.12,     -112.02,       56.76,     -110.36,       62.44,     -109.76,        4.24,        0.50,        1.32,        1.41,       15.21,        1.13,        3.63,        3.81,       25.99,        3.54,        4.38,        5.63,        1.00,        3.31,        4.10,        5.27
       53.22,     -111.11,       47.50,     -111.40,       47.18,     -110.04,       52.87,     -109.60,        3.46,        0.50,        1.32,        1.41,       15.70,        1.20,        3.63,        3.83,       26.03,        3.96,        4.38,        5.90,        1.00,        3.74,        4.10,        5.56
       48.42,     -110.92,       42.69,     -111.18,       42.39,     -109.92,       48.09,     -109.54,        3.44,        0.41,        1.32,        1.38,       14.60,        0.95,        3.63,        3.76,       24.75,        3.02,        4.38,        5.32,        1.00,        2.84,        4.10,        4.99
       38.81,     -110.65,       33.06,     -110.84,       32.82,     -109.71,       38.54,     -109.46,        3.29,        0.39,        1.32,        1.38,       17.14,        0.96,        3.63,        3.76,       23.39,        2.68,        4.38,        5.13,        1.00,        2.48,        4.10,        4.79
       34.00,     -110.55,       28.24,     -110.70,       28.03,     -109.62,       33.76,     -109.42,        3.59,        0.40,        1.32,        1.38,       14.89,        0.89,        3.63,        3.74,       25.50,        2.41,        4.38,        4.99,        1.00,        2.20,        4.10,        4.66
       29.19,     -110.47,       23.42,     -110.58,       23.25,     -109.54,       28.98,     -109.38,        4.30,        0.35,        1.32,        1.37,       14.57,        0.77,        3.63,        3.71,       25.78,        1.95,        4.38,        4.79,        1.00,        1.76,        4.10,        4.47
       24.38,     -110.39,       18.60,     -110.47,       18.47,     -109.46,       24.20,     -109.35,        4.33,        0.41,        1.32,        1.38,       15.53,        0.90,        3.63,        3.74,       24.11,        2.64,        4.38,        5.11,        1.00,        2.45,        4.10,        4.78
       19.55,     -110.33,       13.78,     -110.37,       13.68,     -109.39,       19.42,     -109.32,        3.63,        0.41,        1.32,        1.38,       15.19,        0.95,        3.63,        3.76,       25.44,        2.93,        4.38,        5.27,        1.00,        2.74,        4.10,        4.94
       14.73,     -110.28,        8.95,     -110.28,        8.90,     -109.31,       14.64,     -109.29,        4.03,        0.45,        1.32,        1.39,       16.10,        1.00,        3.63,        3.77,       24.99,        2.56,        4.38,        5.07,        1.00,        2.31,        4.10,        4.71
        0.22,     -110.13,       -5.55,     -110.02,       -5.48,     -109.09,        0.25,     -109.19,        3.98,        0.44,        1.32,        1.39,       15.42,        1.00,        3.63,        3.77,       25.33,        3.22,        4.38,        5.43,        1.00,        3.03,        4.10,        5.10
       -4.62,     -110.09,      -10.39,     -109.94,      -10.28,     -109.01,       -4.55,     -109.16,        3.59,        0.47,        1.32,        1.40,       15.46,        1.13,        3.63,        3.80,       24.10,        3.01,        4.38,        5.31,        1.00,        2.76,        4.10,        4.94
       -9.48,     -110.05,      -15.24,     -109.86,      -15.09,     -108.92,       -9.37,     -109.12,        2.63,        0.44,        1.32,        1.39,       16.97,        1.14,        3.63,        3.81,       24.49,        3.46,        4.38,        5.58,        1.00,        3.24,        4.10,        5.23
      -19.20,     -109.97,      -24.93,     -109.69,      -24.72,     -108.73,      -19.01,     -109.03,        3.29,        0.47,        1.32,        1.40,       15.45,        1.12,        3.63,        3.80,       24.81,        2.18,        4.38,        4.89,        1.00,        1.80,        4.10,        4.48
