 V0_LATITUDE,V0_LONGITUDE, V1_LATITUDE,V1_LONGITUDE, V2_LATITUDE,V2_LONGITUDE, V3_LATITUDE,V3_LONGITUDE,       MG_WT,  MG_FIT_UNC,  MG_SYS_UNC,  MG_TOT_UNC,       AL_WT,  AL_FIT_UNC,  AL_SYS_UNC,  AL_TOT_UNC,       SI_WT,  SI_FIT_UNC,  SI_SYS_UNC,  SI_TOT_UNC,       FE_WT,  FE_FIT_UNC,  FE_SYS_UNC,  FE_TOT_UNC
       52.05,     -107.72,       46.37,     -107.54,       46.56,     -106.38,       52.26,     -106.42,        5.69,        1.29,        1.32,        1.84,       14.11,        1.77,        3.63,        4.04,       22.21,        2.18,        4.38,        4.89,        3.65,        0.00,        4.10,        4.10
       56.93,     -107.58,       51.26,     -107.38,       51.46,     -106.11,       57.15,     -106.12,        6.31,        2.18,        1.32,        2.55,       10.69,        2.97,        3.63,        4.70,       26.62,        3.69,        4.38,        5.72,        3.21,        0.00,        4.10,        4.10
        8.50,      112.70,        2.81,      112.67,        2.82,      113.50,        8.55,      113.55,        7.90,        1.26,        1.32,        1.82,       16.12,        1.54,        3.63,        3.95,       16.82,        1.99,        4.38,        4.81,        5.08,        0.00,        4.10,        4.10
       32.77,      112.93,       27.09,      113.12,       27.30,      114.05,       33.01,      113.92,        4.23,        0.46,        1.32,        1.40,       15.61,        0.66,        3.63,        3.69,       15.78,        0.81,        4.38,        4.45,        5.21,        0.00,        4.10,        4.10
       42.46,      113.05,       36.80,      113.33,       37.06,      114.36,       42.76,      114.16,        3.91,        0.50,        1.32,        1.41,       17.78,        0.76,        3.63,        3.71,       17.19,        0.91,        4.38,        4.47,        3.84,        0.00,        4.10,        4.10
       52.14,      113.21,       46.49,      113.60,       46.81,      114.79,       52.49,      114.53,        5.15,        0.82,        1.32,        1.55,       17.02,        1.13,        3.63,        3.80,       17.87,        1.39,        4.38,        4.59,        3.28,        0.00,        4.10,        4.10
       56.98,      113.31,       51.34,      113.77,       51.68,      115.08,       57.35,      114.79,        4.46,        1.01,        1.32,        1.66,       17.77,        1.40,        3.63,        3.89,       16.77,        1.72,        4.38,        4.70,        3.15,        0.00,        4.10,        4.10
       66.66,      113.62,       61.02,      114.25,       61.39,      115.92,       67.05,      115.66,        4.45,        1.42,        1.32,        1.94,       19.17,        1.99,        3.63,        4.14,       17.80,        2.44,        4.38,        5.01,        2.73,        0.00,        4.10,        4.10
      -41.05,      110.91,      -46.67,      110.28,      -46.99,      111.32,      -41.35,      111.87,        4.96,        0.31,        1.32,        1.36,       15.11,        0.76,        3.63,        3.71,       18.04,        0.82,        4.38,        4.45,        4.80,        0.00,        4.10,        4.10
      -36.14,      111.03,      -41.77,      110.50,      -42.08,      111.47,      -36.42,      111.95,        5.36,        0.28,        1.32,        1.35,       14.29,        0.63,        3.63,        3.69,       19.22,        0.70,        4.38,        4.43,        5.10,        0.00,        4.10,        4.10
      -26.33,      111.22,      -31.98,      110.84,      -32.24,      111.72,      -26.56,      112.08,        4.29,        0.26,        1.32,        1.34,       15.13,        0.40,        3.63,        3.65,       19.90,        0.47,        4.38,        4.40,        4.65,        0.00,        4.10,        4.10
       -6.78,      111.48,      -12.46,      111.30,      -12.58,      112.13,       -6.86,      112.30,        4.91,        0.27,        1.32,        1.35,       15.87,        0.41,        3.63,        3.66,       18.83,        0.49,        4.38,        4.40,        5.09,        0.00,        4.10,        4.10
       -1.90,      111.53,       -7.59,      111.40,       -7.67,      112.22,       -1.94,      112.35,        5.99,        0.31,        1.32,        1.36,       16.08,        0.43,        3.63,        3.66,       17.99,        0.53,        4.38,        4.41,        4.87,        0.00,        4.10,        4.10
        2.97,      111.58,       -2.72,      111.49,       -2.76,      112.31,        2.97,      112.41,        5.46,        0.33,        1.32,        1.36,       16.00,        0.48,        3.63,        3.66,       19.14,        0.58,        4.38,        4.42,        4.31,        0.00,        4.10,        4.10
        7.84,      111.62,        2.14,      111.58,        2.14,      112.41,        7.88,      112.46,        6.05,        0.34,        1.32,        1.36,       17.73,        0.49,        3.63,        3.67,       16.74,        0.60,        4.38,        4.42,        4.20,        0.00,        4.10,        4.10
       22.41,      111.76,       16.72,      111.84,       16.85,      112.72,       22.58,      112.66,        6.35,        0.45,        1.32,        1.40,       16.83,        0.61,        3.63,        3.68,       16.04,        0.76,        4.38,        4.44,        5.06,        0.00,        4.10,        4.10
       27.26,      111.81,       21.58,      111.94,       21.74,      112.83,       27.46,      112.74,        4.60,        0.53,        1.32,        1.42,       17.52,        0.81,        3.63,        3.72,       17.73,        0.97,        4.38,        4.48,        4.35,        0.00,        4.10,        4.10
      -26.18,       79.86,      -31.80,       79.46,      -32.05,       80.26,      -26.39,       80.64,        5.61,        1.04,        1.32,        1.68,       17.92,        1.58,        3.63,        3.96,       16.23,        1.89,        4.38,        4.77,        4.04,        0.00,        4.10,        4.10
       13.21,       80.44,        7.54,       80.43,        7.60,       81.21,       13.31,       81.23,        6.75,        1.20,        1.32,        1.78,       15.60,        1.62,        3.63,        3.98,       16.00,        2.02,        4.38,        4.82,        6.31,        0.00,        4.10,        4.10
       27.89,       80.64,       22.22,       80.76,       22.40,       81.60,       28.10,       81.51,        5.22,        1.22,        1.32,        1.80,       16.87,        1.84,        3.63,        4.07,       18.97,        2.20,        4.38,        4.90,        4.22,        0.00,        4.10,        4.10
      -77.69,       -0.83,      -83.16,       -6.05,      -83.70,       -1.13,      -78.17,        2.02,        7.02,        3.05,        1.32,        3.32,       18.51,        3.85,        3.63,        5.29,       15.89,        4.91,        4.38,        6.58,        3.28,        0.00,        4.10,        4.10
        1.34,       -0.08,       -4.32,       -0.12,       -4.38,        0.61,        1.33,        0.65,        7.73,        0.48,        1.32,        1.40,       13.65,        0.59,        3.63,        3.68,       15.99,        0.76,        4.38,        4.44,        7.72,        0.00,        4.10,        4.10
       11.18,       -0.13,        5.53,       -0.06,        5.58,        0.68,       11.28,        0.62,        7.17,        0.37,        1.32,        1.37,       11.65,        0.59,        3.63,        3.68,       16.48,        0.70,        4.38,        4.43,        9.81,        0.00,        4.10,        4.10
       16.10,       -0.16,       10.45,       -0.03,       10.55,        0.72,       16.25,        0.60,        6.34,        0.32,        1.32,        1.36,        8.99,        0.45,        3.63,        3.66,       15.38,        0.55,        4.38,        4.41,       12.54,        0.00,        4.10,        4.10
       25.93,       -0.21,       20.29,        0.03,       20.49,        0.80,       26.17,        0.59,        7.72,        0.30,        1.32,        1.35,       10.99,        0.44,        3.63,        3.66,       16.95,        0.53,        4.38,        4.41,        9.69,        0.00,        4.10,        4.10
       30.83,       -0.25,       25.21,        0.06,       25.45,        0.85,       31.12,        0.58,        7.50,        0.29,        1.32,        1.35,       10.59,        0.41,        3.63,        3.66,       18.00,        0.50,        4.38,        4.41,       10.25,        0.00,        4.10,        4.10
       35.73,       -0.28,       30.12,        0.09,       30.41,        0.91,       36.06,        0.59,        5.29,        0.28,        1.32,        1.35,        9.53,        0.42,        3.63,        3.66,       20.52,        0.50,        4.38,        4.41,       14.85,        0.00,        4.10,        4.10
       65.07,       -0.77,       59.52,        0.32,       59.98,        1.66,       65.56,        0.82,        8.19,        0.67,        1.32,        1.48,       14.55,        0.80,        3.63,        3.72,       15.17,        1.05,        4.38,        4.50,        6.93,        0.00,        4.10,        4.10
       74.81,       -1.33,       69.28,        0.49,       69.77,        2.43,       75.34,        1.25,        4.58,        0.79,        1.32,        1.54,       18.50,        1.16,        3.63,        3.81,       16.13,        1.40,        4.38,        4.59,        2.91,        0.00,        4.10,        4.10
       79.67,       -2.00,       74.15,        0.65,       74.65,        3.19,       80.21,        1.81,        4.09,        1.18,        1.32,        1.77,       18.18,        1.69,        3.63,        4.01,       16.53,        2.06,        4.38,        4.84,        3.29,        0.00,        4.10,        4.10
      -73.49,      147.35,      -79.14,      146.47,      -79.15,      150.03,      -73.49,      149.69,        8.78,        1.10,        1.32,        1.72,       12.53,        1.24,        3.63,        3.84,       16.89,        1.66,        4.38,        4.68,        4.54,        0.00,        4.10,        4.10
      -68.50,      147.74,      -74.15,      147.28,      -74.16,      149.72,      -68.50,      149.54,        6.09,        0.82,        1.32,        1.56,       13.76,        1.03,        3.63,        3.78,       16.16,        1.32,        4.38,        4.57,        4.20,        0.00,        4.10,        4.10
      -58.50,      148.12,      -64.16,      147.94,      -64.17,      149.46,      -58.51,      149.38,        6.77,        0.64,        1.32,        1.47,       14.87,        0.80,        3.63,        3.72,       16.78,        1.02,        4.38,        4.49,        4.64,        0.00,        4.10,        4.10
      -53.51,      148.23,      -59.16,      148.10,      -59.17,      149.39,      -53.51,      149.34,        7.57,        0.59,        1.32,        1.44,       14.48,        0.72,        3.63,        3.70,       16.14,        0.93,        4.38,        4.47,        5.78,        0.00,        4.10,        4.10
      -48.51,      148.30,      -54.16,      148.21,      -54.17,      149.34,      -48.51,      149.30,        6.49,        0.47,        1.32,        1.40,       14.16,        0.60,        3.63,        3.68,       17.37,        0.76,        4.38,        4.44,        4.71,        0.00,        4.10,        4.10
      -43.51,      148.36,      -49.17,      148.29,      -49.17,      149.30,      -43.51,      149.27,        6.39,        0.44,        1.32,        1.39,       13.97,        0.56,        3.63,        3.68,       17.38,        0.72,        4.38,        4.43,        4.27,        0.00,        4.10,        4.10
      -38.51,      148.40,      -44.17,      148.35,      -44.18,      149.27,      -38.52,      149.25,        7.06,        0.42,        1.32,        1.38,       14.52,        0.53,        3.63,        3.67,       15.67,        0.67,        4.38,        4.43,        4.12,        0.00,        4.10,        4.10
      -23.54,      148.46,      -29.20,      148.44,      -29.21,      149.22,      -23.54,      149.21,        5.87,        0.32,        1.32,        1.36,       14.87,        0.43,        3.63,        3.66,       15.76,        0.53,        4.38,        4.41,        3.65,        0.00,        4.10,        4.10
      -13.58,      148.48,      -19.25,      148.47,      -19.25,      149.20,      -13.58,      149.20,        5.79,        0.31,        1.32,        1.36,       16.59,        0.43,        3.63,        3.66,       16.33,        0.53,        4.38,        4.41,        2.62,        0.00,        4.10,        4.10
        6.26,      148.46,        0.58,      148.46,        0.57,      149.20,        6.26,      149.21,        5.60,        0.27,        1.32,        1.35,       17.02,        0.38,        3.63,        3.65,       15.17,        0.47,        4.38,        4.40,        3.56,        0.00,        4.10,        4.10
